2026-07-22 13:57:57 | INFO | yumi_almaz | Bot ishga tushdi.
2026-07-22 13:58:03 | INFO | yumi_almaz | Yangi user ro'yxatdan o'tdi: 8059999086 wallet=56H72
2026-07-22 14:10:28 | INFO | yumi_almaz | Bot to'xtatildi.
2026-07-22 14:10:28 | INFO | yumi_almaz | Bot qo'lda to'xtatildi.
2026-07-22 14:10:32 | INFO | yumi_almaz | Bot ishga tushdi.
2026-07-22 14:12:25 | INFO | yumi_almaz | Bot to'xtatildi.
2026-07-22 14:12:25 | INFO | yumi_almaz | Bot qo'lda to'xtatildi.
2026-07-22 14:12:29 | INFO | yumi_almaz | Bot ishga tushdi.
2026-07-22 14:13:55 | WARNING | yumi_almaz | Kanal ma'lumotini olishda xatolik @☎ Admin: Telegram server says - Bad Request: chat not found
2026-07-22 14:35:45 | INFO | yumi_almaz | Bot to'xtatildi.
2026-07-22 14:35:45 | INFO | yumi_almaz | Bot qo'lda to'xtatildi.
2026-07-22 14:35:50 | INFO | yumi_almaz | Bot ishga tushdi.
2026-07-22 14:36:38 | INFO | yumi_almaz | Admin 8059999086 userga balans qo'shdi: 8059999086 +500
2026-07-22 14:39:16 | INFO | yumi_almaz | Bot to'xtatildi.
2026-07-22 14:39:16 | INFO | yumi_almaz | Bot qo'lda to'xtatildi.
2026-07-22 14:39:21 | INFO | yumi_almaz | Bot ishga tushdi.
2026-07-22 14:39:51 | INFO | yumi_almaz | Yechish so'rovi yaratildi: user=8059999086 amount=400 game_id=FH56I
2026-07-22 14:40:28 | INFO | yumi_almaz | Bot to'xtatildi.
2026-07-22 14:40:28 | INFO | yumi_almaz | Bot qo'lda to'xtatildi.
2026-07-22 14:40:32 | INFO | yumi_almaz | Bot ishga tushdi.
2026-07-22 14:40:35 | INFO | yumi_almaz | Yechish so'rovi bekor qilindi: id=1 admin=8059999086
2026-07-22 14:41:28 | INFO | yumi_almaz | Yechish so'rovi yaratildi: user=8059999086 amount=456 game_id=shjfd
2026-07-22 14:42:58 | INFO | yumi_almaz | Yechish so'rovi bekor qilindi: id=2 admin=8059999086
2026-07-22 14:46:25 | INFO | yumi_almaz | Bot to'xtatildi.
2026-07-22 14:46:25 | INFO | yumi_almaz | Bot qo'lda to'xtatildi.
2026-07-22 14:46:30 | INFO | yumi_almaz | Bot ishga tushdi.
2026-07-22 14:47:19 | INFO | yumi_almaz | Bot to'xtatildi.
2026-07-22 14:47:19 | INFO | yumi_almaz | Bot qo'lda to'xtatildi.
